5,Winnipeg International,Winnipeg,Manitoba,Canada,92.2258064516129
6,Boston Logan International,Boston,Massachusetts,United States of America (the),61.766666666666666
6,Calgary International,Calgary,Alberta,Canada,88.6
6,Charlotte Douglas International,Charlotte,North Carolina,United States of America (the),76.76666666666667
6,Chicago OHare International,Chicago,Illinois,United States of America (the),75.73333333333333
6,Dallas/Fort Worth International,Grapevine,Texas,United States of America (the),71.36666666666666
6,Daniel K. Inouye International,Urban Honolulu,Hawaii,United States of America (the),88.16666666666667
6,Denver International,Denver,Colorado,United States of America (the),49.6
6,Detroit Metropolitan Wayne County,Romulus,Michigan,United States of America (the),44.333333333333336
6,Edmonton International,Leduc County,Alberta,Canada,70.76923076923077
6,Halifax International,Halifax,Nova Scotia,Canada,68.26666666666667
6,Hamilton International,Hamilton,Ontario,Canada,94.56666666666666
6,Hartsfield-Jackson Atlanta International,College Park,Georgia,United States of America (the),58.233333333333334
6,John F. Kennedy International,New York,New York,United States of America (the),60.266666666666666
6,Kingsford Smith,Sydney,New South Wales,Australia,52.51724137931034
6,LaGuardia,New York,New York,United States of America (the),58.333333333333336
6,Los Angeles International,Los Angeles,California,United States of America (the),63.63333333333333
6,McCarran International,Paradise,Nevada,United States of America (the),30.533333333333335
6,Miami International,Miami Springs,Florida,United States of America (the),79.03333333333333
6,Montreal Mirabel,Mirabel,Quebec,Canada,92.9
6,Montreal Trudeau,Dorval,Quebec,Canada,71.3
6,Newark Liberty International,Newark,New Jersey,United States of America (the),83.06666666666666
6,San Francisco International,South San Francisco,California,United States of America (the),41.96666666666667
6,Santiago International Airport,Santiago,Santiago Province,Chile,26.846153846153847
6,Seattle-Tacoma International,SeaTac,Washington,United States of America (the),66.63333333333334
6,Toronto Pearson,Mississauga,Ontario,Canada,60.3
6,Vancouver International,Richmond,British Columbia,Canada,78.66666666666667
6,Washington Dulles International,Floris,Virginia,United States of America (the),52.46666666666667
6,Winnipeg International,Winnipeg,Manitoba,Canada,96.16666666666667
7,Boston Logan International,Boston,Massachusetts,United States of America (the),65.35483870967742
7,Calgary International,Calgary,Alberta,Canada,87.25806451612904
7,Charlotte Douglas International,Charlotte,North Carolina,United States of America (the),74.7741935483871
7,Chicago OHare International,Chicago,Illinois,United States of America (the),71.87096774193549
7,Dallas/Fort Worth International,Grapevine,Texas,United States of America (the),75.29032258064517
7,Daniel K. Inouye International,Urban Honolulu,Hawaii,United States of America (the),85.29032258064517
7,Denver International,Denver,Colorado,United States of America (the),62.806451612903224
7,Detroit Metropolitan Wayne County,Romulus,Michigan,United States of America (the),46.064516129032256
7,Edmonton International,Leduc County,Alberta,Canada,76.71428571428571
7,Halifax International,Halifax,Nova Scotia,Canada,57.935483870967744
7,Hamilton International,Hamilton,Ontario,Canada,90.38709677419355
7,Hartsfield-Jackson Atlanta International,College Park,Georgia,United States of America (the),62.61290322580645
7,John F. Kennedy International,New York,New York,United States of America (the),60.935483870967744
7,Kingsford Smith,Sydney,New South Wales,Australia,46.25806451612903
7,LaGuardia,New York,New York,United States of America (the),61.38709677419355
7,Los Angeles International,Los Angeles,California,United States of America (the),69.16129032258064
7,McCarran International,Paradise,Nevada,United States of America (the),36.03225806451613
7,Miami International,Miami Springs,Florida,United States of America (the),75.45161290322581
7,Montreal Mirabel,Mirabel,Quebec,Canada,85.74193548387096
7,Montreal Trudeau,Dorval,Quebec,Canada,76.25806451612904
7,Newark Liberty International,Newark,New Jersey,United States of America (the),96.80645161290323
7,San Francisco International,South San Francisco,California,United States of America (the),46.83870967741935
7,Santiago International Airport,Santiago,Santiago Province,Chile,31.107142857142858
7,Seattle-Tacoma International,SeaTac,Washington,United States of America (the),67.64516129032258
7,Toronto Pearson,Mississauga,Ontario,Canada,59.225806451612904
7,Vancouver International,Richmond,British Columbia,Canada,79.45161290322581
7,Washington Dulles International,Floris,Virginia,United States of America (the),51.54838709677419
7,Winnipeg International,Winnipeg,Manitoba,Canada,91.58064516129032
8,Boston Logan International,Boston,Massachusetts,United States of America (the),65.93333333333334
8,Calgary International,Calgary,Alberta,Canada,91.06666666666666
8,Charlotte Douglas International,Charlotte,North Carolina,United States of America (the),85.56666666666666
8,Chicago OHare International,Chicago,Illinois,United States of America (the),74.8
