0,1,2,3,4,5,6,7,8,9,10,11,12
Alabama,0.0,0.0,97.0,224.0,212.0,550.0,1991.0,1571.0,1557.0,1595.0,2819.0,930.0
Alabama,0.0,0.0,23.0,56.0,52.0,178.0,914.0,631.0,524.0,853.0,1094.0,443.0
Alabama,0.0,0.0,1.0,61.0,158.0,55.0,94.0,41.0,29.0,49.0,98.0,33.0
Alabama,0.0,0.0,8.0,57.0,50.0,157.0,727.0,778.0,398.0,630.0,788.0,351.0
Alabama,0.0,0.0,12.0,275.0,148.0,129.0,271.0,212.0,119.0,230.0,447.0,91.0
Alabama,0.0,0.0,31.0,187.0,573.0,1225.0,1824.0,2164.0,2937.0,1823.0,2482.0,936.0
Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alabama,0.0,0.0,29.0,71.0,265.0,510.0,594.0,461.0,427.0,603.0,750.0,273.0
Alabama,0.0,0.0,3.0,31.0,41.0,30.0,204.0,212.0,37.0,215.0,149.0,30.0
Alabama,0.0,0.0,3.0,62.0,87.0,129.0,125.0,107.0,17.0,45.0,67.0,22.0
Alabama,0.0,0.0,2.0,12.0,72.0,148.0,187.0,153.0,171.0,235.0,371.0,133.0
Alaska,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,8.0,4.0,22.0,4.0
Alaska,0.0,0.0,0.0,0.0,0.0,4.0,84.0,5.0,3.0,3.0,9.0,7.0
Alaska,0.0,0.0,63.0,119.0,59.0,251.0,1306.0,1389.0,1479.0,3733.0,8460.0,1704.0
Alaska,0.0,0.0,0.0,1.0,2.0,8.0,10.0,42.0,57.0,357.0,1101.0,131.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,0.0,0.0,0.0,0.0,2.0,38.0,28.0,7.0,19.0,19.0,31.0,6.0
Alaska,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,20.0,12.0,4.0
Alaska,0.0,0.0,0.0,0.0,2.0,17.0,3.0,5.0,4.0,30.0,40.0,5.0
Alaska,0.0,0.0,35.0,47.0,4.0,69.0,279.0,261.0,503.0,1063.0,1219.0,275.0
Alaska,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,4.0,3.0,1.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,0.0,0.0,5.0,22.0,6.0,14.0,100.0,114.0,121.0,198.0,280.0,49.0
Alaska,0.0,0.0,8.0,11.0,31.0,112.0,301.0,129.0,48.0,456.0,1503.0,400.0
Alaska,0.0,0.0,13.0,3.0,0.0,13.0,19.0,15.0,6.0,17.0,111.0,17.0
Alaska,0.0,0.0,0.0,1.0,0.0,6.0,8.0,42.0,12.0,51.0,164.0,179.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,225.0,185.0,37.0
Alaska,0.0,0.0,3.0,18.0,8.0,55.0,199.0,205.0,156.0,809.0,2114.0,1369.0
Alaska,0.0,0.0,0.0,1.0,2.0,6.0,11.0,25.0,32.0,60.0,92.0,17.0
Alaska,0.0,0.0,0.0,0.0,1.0,3.0,13.0,30.0,96.0,132.0,193.0,99.0
Alaska,0.0,0.0,0.0,0.0,2.0,2.0,24.0,39.0,53.0,137.0,102.0,14.0
Alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alaska,0.0,0.0,1.0,3.0,0.0,1.0,5.0,2.0,0.0,8.0,5.0,1.0
